,count_of_sizes,colors,color,product_code,reviews,star_rating,Size,comfort,quality
0,"['28868010:6', '28868011:7', '28868012:8', '28868013:9', '28868004:10', '28868005:11', '28868006:12', '28868007:13', '28868008:14', '28868009:15']",[],['Shown: Black/Team Crimson/White'],['Style: DD0507-002'],['Reviews (0)'],['0'],[],[],[]
1,[],[],[],[],[],[],[],[],[]
2,"['29683039:6', '29683034:6.5', '29683028:7', '29683036:8', '29683026:8.5', '29683025:9', '29683027:9.5', '29683037:10', '29683023:10.5', '29683029:11', '29683020:11.5', '29683033:12', '29683038:12.5', '29683030:14']",[],['Shown: White/Night Silver/Night Maroon'],['Style: DZ5992-100'],['Reviews (0)'],['0'],[],[],[]
3,"['29753760:7', '29753759:8', '29753770:8.5', '29753762:9', '29753768:9.5', '29753767:10', '29753775:12']","['Black/Bronzine/Blue Tint/Medium Ash', 'Phantom/Neutral Olive/Dark Russet/Black']",['Shown: Black/Bronzine/Blue Tint/Medium Ash'],['Style: FB8891-001'],['Reviews (0)'],['0'],[],[],[]
4,[],[],[],[],[],[],[],[],[]
5,"['29568093:8', '29568090:8.5', '29568083:9', '29568086:9.5', '29568096:10']",[],['Shown: Summit White/Hemp/Light Orewood Brown/Black'],['Style: FN3414-100'],['Reviews (7)'],['5'],['75% between Runs Small and True to Size'],['100% between Uncomfortable and Average'],['Yes (4)']
6,"['LTITEM8150:M 3.5 / W 5', 'LTITEM8151:M 4 / W 5.5', 'LTITEM8152:M 4.5 / W 6', 'LTITEM8125:M 5 / W 6.5', 'LTITEM8126:M 5.5 / W 7', 'LTITEM8127:M 6 / W 7.5', 'LTITEM8128:M 6.5 / W 8', 'LTITEM8129:M 7 / W 8.5', 'LTITEM8131:M 7.5 / W 9', 'LTITEM8132:M 8 / W 9.5', 'LTITEM8133:M 8.5 / W 10', 'LTITEM8134:M 9 / W 10.5', 'LTITEM8135:M 9.5 / W 11', 'LTITEM8138:M 10 / W 11.5', 'LTITEM8139:M 10.5 / W 12', 'LTITEM8140:M 11 / W 12.5', 'LTITEM8142:M 11.5 / W 13', 'LTITEM8143:M 12 / W 13.5', 'LTITEM8144:M 12.5 / W 14', 'LTITEM8146:M 13 / W 14.5', 'LTITEM18180:M 13.5 / W 15', 'LTITEM8147:M 14 / W 15.5', 'LTITEM8148:M 15 / W 16.5', 'LTITEM17016:M 16 / W 17.5', 'LTITEM17017:M 17 / W 18.5', 'LTITEM17018:M 18 / W 19.5']",['Multi-Color/Multi-Color'],['Shown: Multi-Color/Multi-Color'],['Style: FB2390-900'],[],[],[],[],[]
7,"['30355102:3.5', '30355098:4', '30286800:7', '30286807:7.5', '30286801:8', '30286809:8.5', '30286811:9.5', '30286803:10', '30287014:10.5', '30286804:11', '30287015:11.5', '30286806:12', '30287016:12.5', '30286808:13', '30355101:13.5', '30286810:14', '30286812:15']",[],['Shown: Football Grey/White/Luminous Green/Black'],['Style: FV6148-001'],['Reviews (0)'],['0'],[],[],[]
8,"['28074272:4', '28074277:4.5', '28074263:5', '28074260:5.5', '28074261:6', '28074269:6.5', '28074265:7', '28074278:7.5', '28074276:8', '28074275:8.5', '28074262:9', '28074264:9.5', '28074270:10', '28074273:10.5', '28074279:11', '28074259:11.5', '28074268:12', '28074266:12.5', '28074274:13', '28074267:14', '28074271:15']",[],['Shown: Black/Black/Black'],['Style: DX2117-001'],['Reviews (1)'],['5'],['100% between Runs Small and True to Size'],['100% between Uncomfortable and Average'],[]
9,"['28868216:6', '28868211:7', '28868212:8', '28868213:9', '28868217:10', '28868218:11', '28868219:12', '28868220:13', '28868214:14', '28868215:15']",[],['Shown: Black/University Red/Pewter Grey'],['Style: DD0534-002'],['Reviews (5)'],['4.2'],[],[],[]
